AXE15ME013,MECHANICAL ENGINEERING,HS210,B+,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,MA202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME201,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME220,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME203,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME210,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME013,MECHANICAL ENGINEERING,ME206,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME015,MECHANICAL ENGINEERING,ME205,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME015,MECHANICAL ENGINEERING,ME201,B,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME015,MECHANICAL ENGINEERING,ME202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME015,MECHANICAL ENGINEERING,ME206,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME205,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,HS200,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,HS210,B+,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME201,C,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME210,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME202,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME204,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
AXE15ME019,MECHANICAL ENGINEERING,ME206,F,AXIS COLLEGE OF ENGINEERING & TECHNOLOGY
